"I was loving this Netbook because it had an amazing screen and display and was small and light, but after 1 week it stopped openning web pages for me (even after installing new browsers) then eventually it just started giving me a blue screen and crashing everytime I booted it.","3","['screen', 'display', 'browsers']","['positive', 'positive', 'neutral']"
"The So called laptop Runs to Slow and I hate it!","1","['Runs']","['negative']"
"Charger seems large for this class of computer.","1","['Charger']","['negative']"
"I dislike the quality and the placement of the speakers.","1","['speakers']","['negative']"
"The screen graphics and clarity, and sharpness are great.","3","['screen graphics', 'clarity', 'sharpness']","['positive', 'positive', 'positive']"
"So I called customer support (which is good too) and they went through it and it is just a safety feature and it does not affect performance at all, I just chose to hide the message.","3","['customer support', 'safety feature', 'performance']","['positive', 'neutral', 'neutral']"
"The unibody design is edgy and durable.","1","['unibody design']","['positive']"
"STOPPED BOOTING UP less than a week after my one-year warranty was up.","2","['BOOTING UP', 'one-year warranty']","['negative', 'neutral']"
"But, for the cost this is a winner.","1","['cost']","['positive']"
"Later it held zero charge and its replacement worked for less than three months.","1","['charge']","['negative']"
"  Also, the battery does not last very long at all.","1","['battery']","['negative']"
"I bought it from HSN because it was ""bundled"" with extra software, but as it turns out, that software just crashes it more often.....","1","['software']","['negative']"
"I looked around and based off my price/features comparison from a brand I trusted I landed here.","2","['price', 'features']","['neutral', 'neutral']"
"  I constantly had to send my laptop in for services every 3 months and it always seems to be the same problem that they said they had already fixed.","1","['services']","['negative']"
"Strong performance in this device makes use of fun and a strong sense of the era of speed This device serves all modern requirements is a very strong game and is very useful for designers.","3","['performance', 'use', 'speed']","['positive', 'positive', 'positive']"
"Unless you need the Bluetooth 3.","1","['Bluetooth 3']","['neutral']"
"I was sorly disapointed to discover that HP (what I thought was a reputable company) wouldn't honor the warrenty when the fan blade fell apart.","2","['warrenty', 'fan blade']","['negative', 'negative']"
"More times that not the screen pops up saying I have a bad internet connection, or the page can't be displayed.","1","['internet connection']","['negative']"
"Do yourself a favor and invest in a few external harddrives if you are planning on purchasing this laptop.","1","['external harddrives']","['negative']"
"I don't understand why only Windows 7 Starter is included.","1","['Windows 7 Starter']","['negative']"
"While most people say that PCs hold functionality and value and Macs are just pretty to look at, I think there's something to be said about the simplicity of Macs.","4","['functionality', 'value', 'look', 'simplicity']","['positive', 'positive', 'positive', 'positive']"
"My macbook is so much better looking and so thin!","1","['looking']","['positive']"
"The ease of use is wonderful.","1","['use']","['positive']"
"This system came loaded with Windows 7 Starter.","1","['Windows 7 Starter']","['neutral']"
"-When battery life went to 4 hours or less, took it to the MacHouse Amsterdam for repair (26th of August).","1","['battery life']","['negative']"
"The battery gets so HOT it is scary.","1","['battery']","['negative']"
"Best thing is I can use existing 32 bit old programs.","1","['programs']","['positive']"
"It's so nice to look at and the keys are easy to type with.","2","['look', 'keys']","['positive', 'positive']"
"I am forever changed and will no longer buy a Windows based machine for personal use.","1","['Windows']","['negative']"
"The only thing I would change about it is the mouse keys.","1","['mouse keys']","['negative']"
"It is absolutely horrible to use, despite all its so called advanced features.","2","['use', 'features']","['negative', 'negative']"
"Before, I reloaded with Windows 7 Ultimate and used only the downloaded drivers from Acer's site.","2","['Windows 7 Ultimate', 'drivers']","['neutral', 'neutral']"
"I have to keep turning it until it decides to lower and there is no mute.","1","['mute']","['negative']"
"It's still beautiful and has better color reproduction than I could ever expect from a notebook.","1","['color reproduction']","['positive']"
"After that I turned to email in my next vain help to get them to acknowledge that the warranty was still valid.","1","['warranty']","['neutral']"
"He loves it and it is easy to use and well the schools start teaching the kids early about computers so it was easy for him to get started.","1","['use']","['positive']"
"u can do what u want in just few seconds, even to start up your computer takes few seconds.","1","['start up']","['positive']"
"Also, macbooks come with much more features which are so cool!","1","['features']","['positive']"
"They sent out a Sony 'Certified' technician.","1","[""Sony 'Certified' technician""]","['neutral']"
"They have developed excellent proprietary software for editing video and pictures and I'm looking forward to utilizing these tools on the regular.","1","['proprietary software']","['positive']"
"Getting the Apple Care plan is a must.","1","['Apple Care plan']","['positive']"
"overall i would recomend this to anybody and tell them that if they want to burn their music or play there video games to buy the cd drive.","2","['video games', 'cd drive']","['neutral', 'neutral']"
"I am constantly trying to uninstall programs, clean cookies, and delete unused files.","1","['programs']","['neutral']"
"The dv4 boasted a faster processor, more memory, and a bigger hard drive than my old computer, plus a better quality web cam, nicer screen, and many other features.","6","['processor', 'memory', 'hard drive', 'web cam', 'screen', 'features']","['positive', 'positive', 'positive', 'positive', 'positive', 'positive']"
"The only downfall is the battery only last 1.5-2.0 hrs when not plugged in.","1","['battery']","['negative']"
"The graphics on this computer are also stellar - very clear and vivid.","1","['graphics']","['positive']"
"Aside from the trial software and the short battery life, lack of a webcam, its great.","3","['trial software', 'battery life', 'webcam']","['negative', 'negative', 'negative']"
"As a die-hard Windows enthusiast, I shunned the idea of a Mac until this point.","1","['Windows']","['positive']"
"I think that if it is the motherboard again so soon that they should replace it.","1","['motherboard']","['negative']"
"The computer loads in about a 1/10th of the time that my PC did, and I have all of the programs that were on my PC.","2","['loads', 'programs']","['positive', 'positive']"
"Graphics are clean and sharp, internet interfaces are seamless.","2","['Graphics', 'internet interfaces']","['positive', 'positive']"
"The newer black keyboard took a little bit away from the previous gray one which looked really slick, but it is still a great notebook!","1","['black keyboard']","['negative']"
"Sony parts reliability and quality of service is recenlty the worst.","1","['service']","['negative']"
"As with any laptop not purchased with software options, it comes with a lot of what I consider useless applications.","2","['software options', 'applications']","['negative', 'negative']"
"Its Office compatible, but the features and its functioning is all new again so you might as well save the money and just learn the pre installed mac programs.","4","['Office', 'features', 'functioning', 'programs']","['positive', 'neutral', 'neutral', 'neutral']"
"It just works flawlessly!","1","['works']","['positive']"
"Do you think I purposely ""destroy"" my netbook, so that I can demand a new set? Do you think it's fun to take public transport all the way to the service center and get a non-satisfactory solution? Or rather NO solution.","1","['service center']","['negative']"
"I'm having the laptop returned unrepaired since paying $176 every 3  months just isn't worth it (that's about how long the port seems to  last).","1","['port']","['negative']"
"  also the battery is completely shot.","1","['battery']","['negative']"
"/ awesome cooling system/ much better grafics card (ATI 5870) / 8GB RAM/ LED backlit screen...","4","['cooling system', 'grafics card', '8GB RAM', 'LED backlit screen']","['positive', 'positive', 'positive', 'positive']"
"The biggest problem is that the box had no instructions in it.","1","['instructions']","['negative']"
"But after using it a couple of weeks, the overall operation is poor.","1","['operation']","['negative']"
"Compared to similarly spec'd PCs, this machine is good value, well built and works easily right out of the box.","3","['value', 'built', 'works']","['positive', 'positive', 'positive']"
"Screen is crystal clear and the system is very responsive.","2","['Screen', 'system']","['positive', 'positive']"
"Or the cursor would show up some place else.","1","['cursor']","['negative']"
"It is easy to operate and I have already ordered more software and gadgets for my new Rolls Royce of laptops.","3","['operate', 'software', 'gadgets']","['positive', 'neutral', 'neutral']"
"it might be something deep within Windows, for I was unable to create a disk image on my hard drive.","3","['Windows', 'disk image', 'hard drive']","['negative', 'negative', 'negative']"
"The track pad to me is what really stands out though, you can do several different things with it just depending on how many fingers you use on the track pad, awesome thinking Apple!","2","['track pad', 'track pad']","['positive', 'positive']"
"  Now I had not tried to use this since the disc drive had been replaced and after taking it back to the Geek Squad I found out they had accidently not used the right drive when they replaced the first one, so back it went to get the correct drive.","3","['disc drive', 'drive', 'drive']","['negative', 'negative', 'neutral']"
"First, you ll discover that the word processing program known as  Appleworks  rarely translates perfectly on anyone else s computer, if it translates at all.","2","['word processing program', 'Appleworks']","['negative', 'negative']"
"I already have a HP laptop I bought last year that's standard size.","1","['size']","['neutral']"
"Battery is not upgradable to a longer life battery.","2","['Battery', 'battery']","['negative', 'negative']"
"apple has a reputation and is well known for its easy usage.","1","['usage']","['positive']"
"Returned laptop for a 3rd repair and it came back with previous problems fixed (except for speaker grill) but the unit started locking up during use and eventually would not operate at all.","1","['speaker grill']","['negative']"
"I just plug this into my 22"" Monitor and the speedy MacOSX performs just as well on this dual-core that my Dell did with Windows 7 with a quad-core.","5","['22"" Monitor', 'MacOSX', 'dual-core', 'Windows 7', 'quad-core']","['neutral', 'positive', 'neutral', 'positive', 'neutral']"
"Love the graphics, awesome programs (including Garageband), and really cool default background.","4","['graphics', 'programs', 'Garageband', 'default background']","['positive', 'positive', 'positive', 'positive']"
"Screen, keyboard, and mouse: If you cant see yourself spending the extra money to jump up to a Mac the beautiful screen, responsive island backlit keyboard, and fun multi-touch mouse is worth the extra money to me alone.","6","['Screen', 'keyboard', 'mouse', 'screen', 'island backlit keyboard', 'multi-touch mouse']","['neutral', 'neutral', 'neutral', 'positive', 'positive', 'positive']"
"The OS takes some getting used to especially after being a Windows user for so long but the learning curve is so worth it!","1","['Windows']","['neutral']"
"I also purchased iWork to go with it which has programs for word processing, spreadsheets, and presentations (similar to Microsoft Office).","6","['iWork', 'programs', 'word processing', 'spreadsheets', 'presentations', 'Microsoft Office']","['neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral']"
"Overall, I experienced a huge change in that my mac runs pretty fast compared to my old PC.","1","['runs']","['positive']"
"When I got the computer back and realizwed it still was not correct HP told me it was out of warranty and now it was my problem.","1","['warranty']","['neutral']"
"It also came with a built it web cam which is great because I can see an communicate with my family members back home.","1","['built it web cam']","['positive']"
"Good monitor and performed well.","2","['monitor', 'performed']","['positive', 'positive']"
"It was secure and easy to navigate.","1","['navigate']","['positive']"
"I was a little weary at purchasing another 13"" macbook almost 2 years later but t looks like the newer macbooks have gotten its current line of graphics cards in order this time around.","1","['graphics cards']","['positive']"
"The machine has a bluray player the book has no mention of it or how to connect it to your HDTV.","2","['bluray player', 'book']","['neutral', 'negative']"
"They are by far the easiest systems to actually learn about computers with.","1","['systems']","['positive']"
"this apple navigates you thru the unexplored world of the internet.","1","['internet']","['neutral']"
"The video card is great for media, and above average for gaming, but not a gamers first choice.","2","['media', 'gaming']","['positive', 'positive']"
"I had of course bought a 3 year warranty, so I sent it in to be replaced and (almost 2 months later) the dv4 is what the sent me as a replacement.","1","['3 year warranty']","['neutral']"
"Apparently there is a manufacturing defect, something with the amount of thermal paste.","1","['thermal paste']","['negative']"
"Despite the claims of the Apple apologists (a vice of which I am recently myself reformed) the internals of Mac laptops are NO different from PCs' at this point.","1","['internals']","['negative']"
"Took several hours with customer support before I could even start the PC out of the box.","1","['customer support']","['negative']"
"Asus facial recognition doesn't work and windows logon isn't either.","2","['facial recognition', 'windows logon']","['negative', 'negative']"
"Windows Vista makes this computer almost unusable for online service.","2","['Windows Vista', 'online service']","['negative', 'negative']"
"I contacted Acer and they are giving me FREE recovery DVDs, so don't go and pay for them, just ask for them and they should give them to you.","1","['recovery DVDs']","['positive']"
"Now when I order I did not go full scale for the webcam or full keyboard I wanted something for basics of being easy to carry when I use crutchs or wheelchair and with a backpack laptop bag.","3","['webcam', 'keyboard', 'carry']","['neutral', 'neutral', 'positive']"
"Can listen to my music and watch my videos with ease and with a great display.","1","['display']","['positive']"
"Otherwise, all other features are a 1","1","['features']","['neutral']"
"The performance is awesome.","1","['performance']","['positive']"
"The display is beyond horrible.","1","['display']","['negative']"
"There is hardly any memory on the computer's hard drive.","2","['memory', 'hard drive']","['negative', 'negative']"
"Actually, I had noticed the one on the sales floor also didn't have sound!","1","['sound']","['negative']"
"Next, most Acer laptop fans are on the bottom which is right on your laptop.","1","['fans']","['neutral']"
"the laptop preformed pretty well.","1","['preformed']","['positive']"
"I got my MacBook Pro because I wanted to do all the stuff I need to do without worrying about the system quitting on me or freezing for a few minutes.","1","['system']","['neutral']"
"I loved the netbook (minus the fact that it was windows OS) until this started happening.","1","['windows OS']","['negative']"
"The minute you fire it up it's all good, very easy user interface.","1","['user interface']","['positive']"
"  I actually contact Toshiba before I started having problem and was given run around after I supplied serial number in order to delay me sending in laptop until after warrenty expired.","1","['warrenty']","['negative']"
"Theres also iDVD, a program dedicated to putting all your favorite media together- photos, recordings, video projects into one program so that you can create the perfect memoir for your parents, family, siblings, and any other person important in your life that there may be.","3","['iDVD', 'program', 'program']","['positive', 'positive', 'positive']"
"After replacing the hard drive the battery stopped working  (3 months of use) which was frustrating.","2","['hard drive', 'battery']","['neutral', 'negative']"
"I love the easy to see screen, and It works well for work, persoal or just play.","2","['screen', 'works']","['positive', 'positive']"
"If what you need is a machine to do some surfing, email checking, word processing, and watching a movie or two, this is the machine you want.","2","['surfing', 'word processing']","['neutral', 'neutral']"
"the mouse pad and buttons are the worst i've ever seen.","2","['mouse pad', 'buttons']","['negative', 'negative']"
"Awesome graphics!","1","['graphics']","['positive']"
"It really is perfect for work and play.","2","['work', 'play']","['positive', 'positive']"
"The pro is a great product, I wish that the 13 inch models came with the Intel i processors and had a more comfortable edge (the edges hurt my wrists).","3","['Intel i processors', 'edge', 'edges']","['negative', 'negative', 'negative']"
"One drawback I noticed was sound quality via USB.","1","['sound quality via USB']","['negative']"
"The battery life sucked the juice from my laptop and when the extended life battery went out we were SOL there to, so much for that warranty covering all the products we purchased.","2","['battery life', 'warranty']","['negative', 'negative']"
"I have had another Mac, but it got slow due to an older operating system.","1","['operating system']","['negative']"
"That's very possible, but since they don't make Windows XP drivers for the sound card in this machine, I was stuck until Windows 7 came out.","3","['Windows XP drivers', 'sound card', 'Windows 7']","['negative', 'negative', 'positive']"
"I'ts nice to have the higher-end laptops, but this fits my budget and the features I need.","2","['budget', 'features']","['positive', 'positive']"
"Was disappointed to find out that the model had been discontinued, apparently because of known motherboard problems.","1","['motherboard']","['negative']"
"Also the speakers are not very loud, But it is a netbook.","1","['speakers']","['negative']"
"LOVE THIS LAPTOP WONDERFUL PRICE FOR WHAT YOU GET!","1","['PRICE']","['positive']"
"Just a black screen!","1","['screen']","['negative']"
"A key contributor that led me to Mac is the art aspect.","1","['art aspect']","['positive']"
"Eventually my battery wouldn't charge, so unless I had it plugged in it wouldn't even power on.","1","['battery']","['negative']"
"Purchased for development purposes, but it has turned into my everyday laptop as well for surfing, e-mail, etc.","1","['surfing']","['positive']"
"My first problem was with the pre-loaded Norton Firewall/Security program.","1","['pre-loaded Norton Firewall/Security program']","['negative']"
"I had a USB connect but, i can't use it because it is not compatible.","1","['USB connect']","['negative']"
"Accordingly, I have decided to NEVER purchase another HP product (my five year old Compaq) lasted 5-years before the hard drive crashed.","1","['hard drive']","['negative']"
"I know that everyone thinks Macs are overpriced and overrated, but once you get past the initial expense you'll find that they're worth every penny (besides, there's always the financing plan that Best Buy offers).","1","['expense']","['negative']"
"I love the multi-touch trackpad.","1","['multi-touch trackpad']","['positive']"
"HP is more interested in selling extended warranties (which cost more than the netbook new) then they are in helping or fixing.","2","['extended warranties', 'cost']","['negative', 'negative']"
"Not too much ""junk"" software to remove.","1","['software']","['positive']"
"System is loosing about 20% of performance because of that.","2","['System', 'performance']","['negative', 'negative']"
"It is easy to use, good quality and good price.","3","['use', 'quality', 'price']","['positive', 'positive', 'positive']"
"The difference in the Apple keyboard from a PC's keyboard took a bit of tim to get used to, but overall it's worth it!","2","['Apple keyboard', ""PC's keyboard""]","['neutral', 'neutral']"
"The extended warranty for the $4000 and up computers was the only one available for purchase on the drop drown menu.","1","['extended warranty']","['neutral']"
"Only issue is that it is a little slow, and I'm fixing that by adding more RAM.","1","['RAM']","['neutral']"
"  The hard drive crashed as well, and I had to buy a new  power cord.","2","['hard drive', 'power cord']","['negative', 'negative']"
"Another issue I have with it is the battery.","1","['battery']","['negative']"
"After 2 months of complaints, Asus finally sent the right power supply to my techies.","2","['power supply', 'techies']","['neutral', 'neutral']"
"That included the extra Sony Sonic Stage software, the speakers and the subwoofer I got (that WAS worth the money), the bluetooth mouse for my supposedly bluetooth enabled computer, the extended life battery and the Docking port.","7","['Sony Sonic Stage software', 'speakers', 'subwoofer', 'bluetooth mouse', 'bluetooth enabled', 'extended life battery', 'Docking port']","['neutral', 'positive', 'positive', 'neutral', 'negative', 'neutral', 'neutral']"
"My MacBook Pro works like a dream, it has never overheated, or even been slightly warm for that matter.","1","['works']","['positive']"
"PC users use the Powerpoint program for slide-show presentation and Mac users utilize Keynote.","2","['Powerpoint program', 'Keynote']","['neutral', 'neutral']"
"I get a ton of compliments on its size, and speaking as someone who regularly commutes on a bus, I can attest to the fact that this is the perfect size computer if you're restricted to the width of your body for computing room.","2","['size', 'size']","['positive', 'positive']"
"It takes me approximately 3 tries to get to each site, then after closing the browser and reopening it it actually works.","1","['browser']","['neutral']"
"Easy to carry, can be taken anywhere, can be hooked up to printers,headsets.","1","['carry']","['positive']"
"also the keyboard does not liht up so unless your sitting in a room with some light you cant see anything and thats bad for me because my boyfriend tends to watch tv in the dark at night which leaves me with no way of seeing the keyboard.","2","['keyboard', 'keyboard']","['negative', 'negative']"
"When I got my laptop back after this first instance it worked okay for a little bit then I started expeirencing issues again, everything from programs and drivers failing again, to it powering off for no reason, to locking up and freezing and just all sorts of issues.","2","['programs', 'drivers']","['negative', 'negative']"
"Love that it doesn't take up space like a regular computer.","1","['space']","['positive']"
"Asked the customer service rep.","1","['customer service rep']","['neutral']"
"So, I took it back to the apple store and they narcissist genius bar staff) fixed it by resetting the fan at boot up.","3","['genius bar staff', 'fan', 'boot up']","['negative', 'neutral', 'neutral']"
"Needs Power and Mouse Cable to Plug in back instead of side, In the way of operating a mouse in small area.","2","['Mouse Cable', 'mouse']","['negative', 'negative']"
"-4 RAM slots, 2 HDD Bays*, 16GB RAM support -No Wireless Issues, at least for me.","4","['RAM slots', 'HDD Bays', '16GB RAM support', 'Wireless']","['neutral', 'neutral', 'neutral', 'positive']"
"I agree with the previous comment that ASUS TECH SUPPORT IS HORRIBLE WHICH IS A CON IN MY OPINION.","1","['ASUS TECH SUPPORT']","['negative']"
"In fact, somehow (and I never opened it up) some specks of dust or something got inside the screen and are now there permanently, behind the front of the screen, in the way of the display.","3","['screen', 'screen', 'display']","['negative', 'negative', 'negative']"
"the mouse on the pad, the left button always sticks.","2","['mouse on the pad', 'left button']","['neutral', 'negative']"
"  i have tried to charge on different batteries with no luck.","1","['batteries']","['negative']"
"I would recommend this computer to anyone searching for the perfect laptop, and the battery life is amazing.","1","['battery life']","['positive']"
"We use the built in tools often, iTunes is open nearly every day and works great with my iPhone.","2","['built in tools', 'iTunes']","['neutral', 'positive']"
"the size of has actually help me out quite a bit by me being able to fit it in an already full backpack and to use it at a resturant where the food on the table is always so space consuming.","1","['size']","['positive']"
"True quality at a great price!","2","['quality', 'price']","['positive', 'positive']"
"Not easy to carry.","1","['carry']","['negative']"
"The programs that come standard with the Leopard running system are enough for the average person to run all the basics.","2","['programs', 'Leopard running system']","['positive', 'neutral']"
"So what am I supposed to do?  The LG service center cannot provide me the ""service"" when it is called the ""service center"".","3","['LG service center', 'service', 'service center']","['negative', 'negative', 'negative']"
"The Material this Pro is made out of seems a lot nicer than any PC  Specs: Like I said this performs a lot better than any computer I've had in the past.","3","['Material', 'Specs', 'performs']","['positive', 'negative', 'positive']"
"After doing extensive research, macconnection had the lowest price on the 15"" MBP i5.","1","['price']","['positive']"
"I am ADDICTED to photo booth!","1","['photo booth']","['positive']"
"The operating system and user interface is very intuitive, and the large multi-touch track pad is amazing.","3","['operating system', 'user interface', 'multi-touch track pad']","['positive', 'positive', 'positive']"
"Hard disk - The new editions gives you more hard disk space (500GB instead of 320GB) but time has taught me never to trust an internal hard disk.","3","['Hard disk', 'hard disk space', 'internal hard disk']","['neutral', 'positive', 'neutral']"
"It is extremely portable and easily connects to WIFI at the library and elsewhere.","1","['connects to WIFI']","['positive']"
"First things first, Macbook pro has many applications to make life easier, unlike the windows computers.","2","['applications', 'windows']","['positive', 'negative']"
"And the screen on this thing is absolutely amazing for high quality videos and movies and gaming.","2","['screen', 'gaming']","['positive', 'positive']"
"  I considered I may have too much on the computer, but after looking, there was plenty of space and that is not the issue.","1","['space']","['positive']"
"  i must keep it plugged in at all times because it will not keep a charge for longer than four minutes.","1","['charge']","['negative']"
"Summary: I've had this laptop for 2 months, out of the blue the power adapter stops working.","1","['power adapter']","['negative']"
"I saw walmart had the same computer for about $650 but still knowing what I know now,I would not buy it at that price.","1","['price']","['negative']"
"Of course, for a student, weight is always an issue.","1","['weight']","['neutral']"
"Now mainboard is broken, have to wait for a new one.","1","['mainboard']","['negative']"
"The speed difference is next to NOTHING for a mac, and the hard drive can be manually upgraded or you could just buy a $60 500gb external hard drive.","3","['speed', 'hard drive', '500gb external hard drive']","['negative', 'neutral', 'neutral']"
"2.The wireless card is low quality.","1","['wireless card']","['negative']"
"They also use two totally different operating systems.","1","['operating systems']","['neutral']"
"They are about the same size keys.","1","['keys']","['neutral']"
"The people are frustrating to work with, the product itself is very cheaply made, and the accessories are less than satisfactory.","1","['accessories']","['negative']"
"They offer the best warranty in the business, and don't 3rd party it out like Toshiba.","1","['warranty']","['positive']"
"The only problems are the sound isnt very loud I have to wear headphones.","1","['sound']","['negative']"
"Again- windows based machines were not giving me anything to work with!","1","['windows']","['negative']"
"everything about a mac is wonderful, it takes a little used to learning and getting used to the new system, but you will learn fast and its all worth it.","1","['system']","['neutral']"
"i love the size of the computer since i play games on it.","2","['size', 'games']","['positive', 'neutral']"
"You know, using the computer should be fun, not aggrevation, especially when you are playing games or working with photos.","1","['playing games']","['neutral']"
"There are no viruses or spyware to worry about like on a Windows computer.","1","['Windows']","['negative']"
"To be honest i think it was faulty equipment or something but idk.","1","['equipment']","['negative']"
"I also love the small, convenient size of my laptop, making it a perfect tool for my academic studies.","1","['size']","['positive']"
"I love its solid build, light wt and excellent battery life (for now).","3","['build', 'wt', 'battery life']","['positive', 'positive', 'positive']"
"while about 8 years ago, I hope that the quality has changed.","1","['quality']","['negative']"
"The difference is it's a whole lot of fun using the laptop now, still learning the Apple navigation, but is fun and comes with a lot of cool apps.","2","['Apple navigation', 'apps']","['neutral', 'positive']"
"-I propose that I can just swap the hard drives.","1","['hard drives']","['neutral']"
"The battery holds up well, it's built very solidly, and runs fast.","3","['battery', 'built', 'runs']","['positive', 'positive', 'positive']"
"Sound card is limited though.","1","['Sound card']","['negative']"
"This is a nicely sized laptop with lots of processing power and long battery life.","3","['sized', 'processing power', 'battery life']","['positive', 'positive', 'positive']"
"  The only thing I can imagine is that Sony jumped on early specifications for Vista requirements from Microsoft and designed it to those inadequate requirements.","1","['Vista']","['negative']"
"The keyboard, which generally felt okay even for someone used to a desktop keyboard, now looks terrible.","1","['desktop keyboard']","['neutral']"
"The display is awesome.","1","['display']","['positive']"
"It took several weeks just to get them to acknowledge that I owned the warranty.","1","['warranty']","['negative']"
"The keyboard is like no other laptop keyboard.","2","['keyboard', 'keyboard']","['neutral', 'neutral']"
"-Computer crashed frequently and battery life decreased very quickly.","1","['battery life']","['negative']"
"-I propose that they can just swap the hard drives.","1","['hard drives']","['neutral']"
"Every driver on the drivers/applications DVD is everything you will need for a reload.","2","['driver', 'drivers/applications DVD']","['positive', 'positive']"
"I called their repair depot as was told they would send Me a new box to return the computer to the repair depot.","2","['repair depot', 'repair depot']","['neutral', 'neutral']"
"It's also fairly easy to use the Operating System.","1","['Operating System']","['positive']"
"We figure that after everything HIS pc actually ended up costing $350 more than my original Mac.","1","['costing']","['negative']"
"So having the AC plug go out on me and get lose or I could actually here it inside my computer on two of the three times is not good.","1","['AC plug']","['negative']"
"Peformance is good for the price.","2","['Peformance', 'price']","['positive', 'positive']"
"The computer is currently in West Verginia doe to the method of shipping choosen by Toshiba.","1","['shipping']","['negative']"
"Summary: HP knew they were shipping out bad BIOS and did nothing proactive to resolve it.","1","['BIOS']","['negative']"
"I had 3 months when the ports started going out.","1","['ports']","['negative']"
"The improvements to the OS have been relatively gradual, but substantive.","1","['OS']","['positive']"
"It is super easy to use.","1","['use']","['positive']"
"Many of my classmates computers hard drives crashed.","1","['hard drives']","['negative']"
"Ease of use is just one of the benefits I love about my Mac.","1","['use']","['positive']"
"I wouldn't play a first-person shooter with this, mind, but if you wanted to run MS Office, email, chat, download a video, listen to music from a certain fruit-named music store, and were looking for a highly portable yet powerful netbook to do that all in, I'd highly recommend checking this out.","1","['MS Office']","['neutral']"
"The 13"" Macbook Pro just fits in my budget and with free shipping and no tax to CA this is the best price we can get for a great product.","3","['budget', 'shipping', 'price']","['positive', 'positive', 'positive']"
"The sheer power and flexibility makes the MacBook Pro a must have for any techie!","2","['power', 'flexibility']","['positive', 'positive']"
"The notebook is lacking a HDMI port and a S-video port that would enable one to hook it to a TV.","2","['HDMI port', 'S-video port']","['negative', 'negative']"
"The speakers on it are useless too.","1","['speakers']","['negative']"
"Battery is lasting about 6 hours as I am surfing the web on Sundays while checking football scores and watching funny Youtube videos.","2","['Battery', 'surfing the web']","['neutral', 'neutral']"
"Iphoto is great for adding pictures right to facebook and other social networking sites.","1","['Iphoto']","['positive']"
"In early May I got it back and this time I only had it back for 1 day before it had a NEW issue so it was sent back in for the 6th time they ""expedited"" the repairs so I was only supposed to have to be without it for 3 days and it was supposed to be fixed, by a ""Senior Tech"".","1","['Senior Tech']","['negative']"
"Some features arent friendly ( volume wheel, sound quality, etc.","3","['features', 'volume wheel', 'sound quality']","['negative', 'negative', 'negative']"
"A cheaper price should not equal a ""cheap"" product.","1","['price']","['positive']"
"I think the manual is somewhere on the hard drive, but I rather have a hard copy.","2","['manual', 'hard drive']","['neutral', 'neutral']"
"Thank you Best Buy for putting my computer together and installing my first software - you guys were GREAT too!","1","['software']","['neutral']"
"Adjust the sensitivity since it's not that responsive to begin with.","1","['sensitivity']","['negative']"
"After a couple of years, my battery life began to diminish but was replaced for free due to a company-wide recall of my particular battery.","1","['battery']","['negative']"
"The system constantly overheats, the battery life is too short, the case is coming apart, and my core applications that I use every day in my work as a graphic artist run poorly.","4","['system', 'battery life', 'case', 'core applications']","['negative', 'negative', 'negative', 'negative']"
"  Later it held zero charge and its replacement worked for less than three months.","1","['charge']","['negative']"
"  The company sent me a whole new cord overnight and apologized.","1","['cord']","['positive']"
"It's even easy to hook up to other wireless networks.","1","['hook up to other wireless networks']","['positive']"
"  Also, I have had alot of trouble with the shift key to go to other lines.","1","['shift key']","['negative']"
"The rep did not even answer my question, I had to ask him, if he understood what I ask or if he spoke english because he didn't even try to acknowledge my question.","1","['rep']","['negative']"
"It gives me the power and speed that I need to run all the programs I use to edit.","3","['power', 'speed', 'programs']","['positive', 'positive', 'neutral']"
"iLife is easily compatible with Microsoft Office so you can send and receive files from a PC.","2","['iLife', 'Microsoft Office']","['positive', 'neutral']"
"As a computer science student in college, I find that the portability, longevity, and ease of use of this computer make me (shockingly) want to do homework more;","3","['portability', 'longevity', 'use']","['positive', 'positive', 'positive']"
"  Again I sent it back and they replaced the motherboard and some fan inside.","2","['motherboard', 'fan']","['neutral', 'neutral']"
"Fully charged, the MacBook Pro can last about five hours unplugged.","1","['charged']","['positive']"
"I know there are way better laptops out there for the same price, and why spend money on shit when you can go out and get yourself a perfectly decent laptop that doesnt suck total monkey balls.","1","['price']","['neutral']"
"For me, keys were starting to get stuck and wouldn't type very well.","1","['keys']","['negative']"
"can't reinstall with standard os cd because of proprietary hardware drivers.","2","['standard os cd', 'proprietary hardware drivers']","['negative', 'negative']"
"There is a small red circle next to it with a x in the middle, and when I click on it it says: "" Consider replacing your battery"" and it does not hold full charge.","2","['battery', 'charge']","['neutral', 'negative']"
"The computer was two weeks late in delivery because HP forgot to complete the required import paperwork.","1","['delivery']","['negative']"
"The first programm I switched on was a game for my children.","1","['programm']","['neutral']"
"I have been very pleased with the performance of this laptop.","1","['performance']","['positive']"
"I bought it for my mom and she reports that the battery life lasts all day for her, it's very lightweight, and the response for the computing she's doing (Internet focused activity: mail, research, etc.) is excellent;","3","['battery life', 'response', 'Internet focused activity']","['positive', 'positive', 'neutral']"
"Its very nice and once you learn the features you will be so happy to have such a sophisticated computer.","1","['features']","['neutral']"
"It is sleek and lightweight and charges quickly when needed.","1","['charges']","['positive']"
